Staging/tblnIoNrXu0xn7UJA.csv,collection,id,airtable_id,belongs_to_collection
,Gor Collection,205145.0,rec6sVqqDD2BNp5tA,
,God's Not Dead Collection,409343.0,rec74y2FSCCZP3BPn,
,Free Willy Collection,9328.0,rec78ykL16WiuBemp,Free Willy
,Johnny English Collection,86117.0,rec7BPwqnEMdzoab2,
,Knerten Collection,133676.0,rec7Bojf9GQNBVwJg,
,Samurai Trilogy,377545.0,rec7CDIQCL2oErZWg,The Twilight Samurai
,Babysitting,331841.0,rec7HRRooQAFiFY9p,
,Baby Burlesks,164072.0,rec7IpYf0J7i5SbUZ,"The Pie-Covered Wagon, Runt Page"
,Lady Snowblood Collection,149191.0,rec7LcW50f1IfRUnb,
,Austin Powers Collection,1006.0,rec7OQlcIcCp9L0Zc,
,Die Nibelungen Collection,158038.0,rec7X5m8v8jVGIVlI,
,Santa Baby Collection,134635.0,rec7ZVVNcWyD8VIKX,
,Cat Stevens y Hutch Bessy Trilogy,266731.0,rec7bw1rN9c2lFFSF,"Boot Hill, Ace High"
,Wizards of Waverly Place Collection,413935.0,rec7dmIHBwMNg8tWT,
,The Mummy (Hammer Series),138965.0,rec7fmM4MBbqJNitO,
,Alan Davies Collection,132203.0,rec7hCqJom2NptzrL,
,King Kong (1976 series),135498.0,rec7jb4sZu8x6F8u6,King Kong
,All Hallow's Eve Collection,442195.0,rec7kKAxuutrUPOR4,
,Curious George Collection,55428.0,rec7msYLPzlcjfmdu,
,Bhoothnath Collection,264317.0,rec7uQfwf23Jt2Uf8,Bhoothnath
,Star Wars Collection,10.0,rec7ufWeAQfiCqSd7,"Star Wars: The Force Awakens, Star Wars"
,Killer Crocodile Collection,470274.0,rec7ulavh492CoZgc,
,Battlestar Galactica (Reboot) Collection,91697.0,rec7xytH6YRzZVkoh,Battlestar Galactica: The Plan
,Painted Skin Collection,132877.0,rec822O9OyncN43YV,Painted Skin: The Resurrection
,The Substitute Collection,143766.0,rec82SgJPkwQd9noK,
,The Adventures of Mickey Matson Collection,386491.0,rec84S3GTY0mgASco,
,Teen Beach Collection,408196.0,rec84iCxulnpzu06L,
,Hera Pheri Collection,142022.0,rec8BRGS2c2VxSlXF,
,The Millennium Collection,24761.0,rec8BWB8BnUM8vBAb,The Girl with the Dragon Tattoo
,Fortress Collection,86341.0,rec8CUYd7RN6w6iBa,"Fortress, Fortress 2"
,Cross of Iron Collection,93568.0,rec8DFdehwNEt8vZr,"Breakthrough, Cross of Iron"
,Sabrina the Teenage Witch Collection,86346.0,rec8EVo6WQAOXPsTX,Sabrina the Teenage Witch
,Daffy Duck Movie Collection,432151.0,rec8F64wRkNC38Ce7,
,If You Are the One (Collection),417064.0,rec8FCmwd7XnuZKYU,
,Justice League Collection,468551.0,rec8LUGYV6MiJDvwH,Justice League
,Mr. Moto Collection,89959.0,rec8PLW7gZeJbc3VM,
,Batman Beyond Collection,379475.0,rec8Q0pnm3rRX4fAG,Batman Beyond: Return of the Joker
,Rare Exports Collection,412736.0,rec8R2QtxFsAUmYd7,
,Godzilla (Showa) Collection,374509.0,rec8SlXF4Wo8U5kxu,"Mothra vs. Godzilla, King Kong vs. Godzilla, Godzilla, Godzilla Raids Again, ""Ghidorah, the Three-Headed Monster"""
,Son of Batman Collection,334996.0,rec8YeQao8kD3j39r,
,Elvira Collection,182617.0,rec8aQjbhxCmr0JXf,
,Tai Chi Collection,161373.0,rec8afnDdN3YBgSwQ,"Tai Chi Hero, Tai Chi Zero"
,Jungledyret Hugo Collection,206449.0,rec8ahvQpQUVxOjTQ,Amazon Jack 3: Jungo Goes Bananas
,Ring of Fire Collection,122938.0,rec8btoM3gMnLSXpb,
,The Work and the Glory Collection,243738.0,rec8jyXWItWpRu4PJ,The Work and the Glory II: American Zion
,The Trip Collection,309300.0,rec8ksplvZod2WXYv,
,Sin City Collection,135179.0,rec8mMKFLBkwoAitH,
,Wodehouse P.G. Collection,122778.0,rec91J25211KoUAJA,
,Shiloh Collection,331475.0,rec91TrG1JCe2Krc0,
,Sleepaway Camp Collection,47391.0,rec9279YXPUeP2zHx,Sleepaway Camp
,Sami Swoi Collection,240156.0,rec9APx2l05bF676K,
,Spirits' Homecoming Collection,478244.0,rec9AdHallgJicVZj,
,Zapped Collection,137766.0,rec9ApPcumALyGqFX,
,Åsa-Nisse Collection,135014.0,rec9FkZ54kRdv4Q0h,
,Vacancy Collection,86112.0,rec9J633fUuSnsQwp,"Vacancy 2: The First Cut, Vacancy"
,Naked Fear Collection,110041.0,rec9Ruum60HfU2oxp,
,Journey to the West Collection,456576.0,rec9XjoxzKllpQGDS,Journey to the West: Conquering the Demons
,Glass Tiger collection,147207.0,rec9b8SVWrGZChAPZ,
,The Foreigner Collection,308645.0,rec9fcYsdQMB3CZyg,
,Men in the City Collection,220872.0,rec9fyEw8M56Qsn2L,
,Robotech (Samling),396839.0,rec9ges49lrMi9RzY,
,Sammy's Adventure Collection,166844.0,rec9ggbwzIZMYwSRf,A Turtle’s Tale 2: Sammy’s Escape From Paradise
,Flying Guillotine Collection,380170.0,rec9jHQHj102h2hAx,
,Ivan The Terrible Collection,426985.0,rec9n5UP53tapeW1S,
,Bad Santa Collection,423173.0,rec9naTCPqSeQRuJ1,Bad Santa
,Alex Cross Collection,142680.0,rec9oV26kaebnM93n,
,Davy Crockett Collection,181496.0,rec9pTRnkCoKIByWz,
,Yamla Pagla Deewana,362878.0,rec9q1RRWfmsTWOlU,
,See No Evil Collection,296872.0,rec9uJB47QYYSc3j5,See No Evil
,Loose Change Collection,123438.0,recAAVqSL9fNtgGda,Loose Change: 2nd Edition
,The Amazing Spider-Man Collection,125574.0,recACNck0Men2eIls,The Amazing Spider-Man 2
,What the Bleep! Collection,476065.0,recAGncY58GzEpNGt,
,Thunderbirds (Animation) Collection,306882.0,recAHuuFxWrt607Vz,
